GPOName,Path
DoD Adobe Acrobat Pro DC Classic STIG Computer v1r3,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Adobe Acrobat Pro DC Classic v1r3\GPOs
DoD Adobe Acrobat Pro DC Classic STIG User v1r3,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Adobe Acrobat Pro DC Classic v1r3\GPOs
DoD Adobe Acrobat Pro DC Continuous STIG Computer v1r2,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Adobe Acrobat Pro DC Continuous v1r2\GPOs
DoD Adobe Acrobat Pro DC Continuous STIG User v1r2,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Adobe Acrobat Pro DC Continuous v1r2\GPOs
DoD Google Chrome STIG Computer v2r2,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Google Chrome v2r2\GPOs
DoD Internet Explorer 11 STIG Computer v1r19,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Internet Explorer 11 v1r19\GPOs
DoD Internet Explorer 11 STIG User v1r19,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Internet Explorer 11 v1r19\GPOs
DoD Access 2013 STIG User v1r6,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Excel 2013 STIG User v1r7,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Infopath 2013 STIG Computer v1r5,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Infopath 2013 STIG User v1r5,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Lync 2013 STIG Computer v1r4,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Office System 2013 STIG Computer v2r1,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Office System 2013 STIG User v2r1,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Outlook 2013 STIG User v1r13,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD PowerPoint 2013 STIG User v1r6,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Project 2013 STIG User v1r4,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Publisher 2013 STIG User v1r5,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Visio 2013 STIG User v1r4,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Word 2013 STIG User v1r6,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2013 and Components\GPOs
DoD Access 2016 STIG User v1r1,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2016 and Components\GPOs
DoD Excel 2016 STIG User v1r2,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2016 and Components\GPOs
DoD Office System 2016 STIG Computer v1r1,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2016 and Components\GPOs
DoD Office System 2016 STIG User v1r1,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2016 and Components\GPOs
DoD OneDrive for Business 2016 STIG Computer v2r1,C:\Temp\February 2021 DISA STIG GPO Package 0211\DoD Office System 2016 and Components\GPOs
